Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene type
FBgn0035392	CG1271	3L	3052514	3054906	1	protein_coding
FBgn0086558	Ubi-p5E	X	6276876	6279647	-1	protein_coding
FBgn0039425	CG5432	3R	26414088	26416192	1	protein_coding
FBgn0002787	Rpn8	2R	24400028	24404527	1	protein_coding
FBgn0038523	CG7587	3R	17594386	17595057	1	protein_coding
FBgn0039827	CG1544	3R	31196916	31203722	1	protein_coding
FBgn0050075	CG30075	2R	14375921	14376677	1	protein_coding
FBgn0037950	HisCl1	3R	11787176	11789393	1	protein_coding
FBgn0038946	rdhB	3R	22351696	22356264	1	protein_coding
FBgn0267567	asRNA:CR45907	3R	7085660	7086140	1	ncRNA
FBgn0263512	Vsx2	X	5528927	5560183	-1	protein_coding
FBgn0036219	CCDC151	3L	11881384	11883546	1	protein_coding
FBgn0264863	asRNA:CR44054	X	11139608	11141238	1	ncRNA
FBgn0035228	CG12091	3L	1534929	1536835	-1	protein_coding
FBgn0020556	lncRNA:bxd	3R	16742125	16773189	-1	ncRNA
FBgn0031918	CG6055	2L	7466543	7472493	1	protein_coding
FBgn0267571	lncRNA:CR45911	3R	15417320	15420710	-1	ncRNA
FBgn0000426	SmF	2R	12183844	12184310	-1	protein_coding
FBgn0052643	CG32643	X	12984524	12985071	1	protein_coding
FBgn0037619	CG8159	3R	8726854	8728370	1	protein_coding
FBgn0035331	MsR1	3L	2322693	2345799	1	protein_coding
FBgn0000022	ac	X	370031	370947	1	protein_coding
FBgn0030341	p24-1	X	11850909	11852530	-1	protein_coding
FBgn0053433	5SrRNA:CR33433	2R	19736617	19736751	-1	rRNA
FBgn0265073	lncRNA:CR44184	2L	19019396	19019871	-1	ncRNA
FBgn0039348	Npl4	3R	25611013	25624662	-1	protein_coding
FBgn0036817	CG6865	3L	18863647	18865514	1	protein_coding
FBgn0260462	CG12163	3R	5237651	5251745	-1	protein_coding
FBgn0034766	Obp59a	2R	22702695	22703786	1	protein_coding
FBgn0034882	Eglp1	2R	23602585	23603641	1	protein_coding
FBgn0036008	CG3408	3L	9506818	9509583	-1	protein_coding
FBgn0050471	CG30471	2R	15533520	15537782	1	protein_coding
FBgn0038474	mRpS11	3R	17072732	17073795	1	protein_coding
FBgn0042119	Cpr65Au	3L	6131242	6132109	-1	protein_coding
FBgn0013746	alien	2L	8993818	8997379	-1	protein_coding
FBgn0033271	CG8708	2R	8159406	8161565	-1	protein_coding
FBgn0051759	CG31759	2L	12207709	12210110	1	protein_coding
FBgn0261393	alpha-Est5	3R	7533496	7536390	-1	protein_coding
FBgn0003965	v	X	10923972	10925631	1	protein_coding
FBgn0031696	Bub1	2L	5278865	5283283	1	protein_coding
FBgn0038109	CG11656	3R	13009895	13011086	1	protein_coding
FBgn0038869	Smyd5	3R	21217268	21218791	-1	protein_coding
FBgn0264481	asRNA:CR43889	3L	19909365	19910203	1	ncRNA
FBgn0035799	CG14838	3L	7583454	7587248	1	protein_coding
FBgn0002905	mus308	3R	12705523	12712299	-1	protein_coding
FBgn0266435	CG45065	X	14875370	14882586	-1	protein_coding
FBgn0035334	CG8993	3L	2372199	2372876	1	protein_coding
FBgn0265917	CR44706	2L	15128559	15128971	1	pseudogene
FBgn0267308	lncRNA:CR45744	3L	6162695	6163102	-1	ncRNA
FBgn0283462	IMPPP	2R	13407011	13408358	1	protein_coding
FBgn0262116	RNASEK	2R	4186835	4188127	-1	protein_coding
FBgn0002306	sas	3R	7162808	7183702	1	protein_coding
FBgn0266305	lncRNA:CR44970	2L	12840895	12841323	1	ncRNA
FBgn0032284	CG7294	2L	10688734	10689271	-1	protein_coding
FBgn0031651	mRpL24	2L	4944256	4945361	-1	protein_coding
FBgn0051230	CG31230	3R	18671679	18672094	1	protein_coding
FBgn0267166	lncRNA:CR45606	X	18122123	18122919	1	ncRNA
FBgn0003886	alphaTub85E	3R	9731221	9733250	-1	protein_coding
FBgn0036805	Chmp1	3L	18682895	18684061	-1	protein_coding
FBgn0000577	en	2R	11524006	11528210	-1	protein_coding
FBgn0053920	CG33920	3R	31044391	31045105	-1	protein_coding
FBgn0265342	CG44296	2R	10050348	10050874	1	protein_coding
FBgn0015872	Drip	2R	11411203	11429645	-1	protein_coding
FBgn0032015	Ostgamma	2L	8306696	8308192	-1	protein_coding
FBgn0033812	Pex13	2R	13228276	13230234	-1	protein_coding
FBgn0037020	Pex14	3L	20778799	20780378	1	protein_coding
FBgn0040780	Atg10	2R	7832171	7835518	1	protein_coding
FBgn0283658	muc	2L	7426866	7430329	1	protein_coding
FBgn0000339	cni	2L	16309292	16310726	-1	protein_coding
FBgn0023213	eIF4G1	4	915297	930715	-1	protein_coding
FBgn0260243	E(var)3-9	3R	8990645	8992949	-1	protein_coding
FBgn0030997	CG7990	X	19196058	19201979	-1	protein_coding
FBgn0040107	lectin-21Ca	2L	624617	625556	1	protein_coding
FBgn0266719	stac	3R	25056286	25064348	1	protein_coding
FBgn0262360	CG43058	2R	13600645	13601099	-1	protein_coding
FBgn0011880	tRNA:Ile-AAT-1-1	2R	6166151	6166224	1	tRNA
FBgn0022800	Cad96Ca	3R	25197571	25208283	-1	protein_coding
FBgn0052017	CG32017	4	1137830	1162158	-1	protein_coding
FBgn0053093	CG33093	3R	22530694	22531922	-1	protein_coding
FBgn0010750	atms	3R	4750035	4777490	1	protein_coding
FBgn0039805	Cpr100A	3R	30867521	30869184	1	protein_coding
FBgn0052081	CG32081	3L	11027579	11029444	1	protein_coding
FBgn0028962	AlaRS-m	3L	5146098	5149852	1	protein_coding
FBgn0046297	lncRNA:CR9284	2R	21803402	21804338	1	ncRNA
FBgn0054034	CG34034	3R	21738345	21739110	-1	protein_coding
FBgn0032059	PrBP	2L	8684823	8685955	-1	protein_coding
FBgn0261260	mgl	X	9358496	9500129	-1	protein_coding
FBgn0030685	Graf	X	15751674	15760733	-1	protein_coding
FBgn0053884	His2B:CG33884	2L	21497745	21498339	-1	protein_coding
FBgn0033029	Not3	2R	5656406	5663222	-1	protein_coding
FBgn0052708	CG32708	X	9085932	9086864	1	protein_coding
FBgn0037037	CG10588	3L	20956934	20960660	1	protein_coding
FBgn0086856	CG11555	2L	273836	274766	1	protein_coding
FBgn0027106	Inx7	X	6991612	6993612	-1	protein_coding
FBgn0000617	e(y)1	X	17842161	17843348	1	protein_coding
FBgn0036349	SNCF	3L	13378583	13379190	1	protein_coding
FBgn0001259	in	3L	20367198	20370259	1	protein_coding
FBgn0013277	Hsp70Ba	3R	12465453	12467776	-1	protein_coding
FBgn0261258	rgn	3L	21382501	21424416	1	protein_coding
FBgn0004429	LysP	3L	1218082	1218696	-1	protein_coding
FBgn0051665	wry	2L	1836538	1858550	1	protein_coding
FBgn0035439	CG14961	3L	3330063	3333181	1	protein_coding
FBgn0051102	CG31102	3R	25293458	25295594	-1	protein_coding
FBgn0037375	kat-60L1	3R	5781762	5787465	1	protein_coding
FBgn0030773	CG9676	X	16699152	16700170	-1	protein_coding
FBgn0041103	nht	2L	15317954	15318901	-1	protein_coding
FBgn0040069	vanin-like	X	6200188	6202559	-1	protein_coding
FBgn0039588	mIF2	3R	28542274	28544817	-1	protein_coding
FBgn0031004	CG7992	X	19245158	19247250	-1	protein_coding
FBgn0261537	CG42661	3L	7465509	7468808	1	protein_coding
FBgn0036940	obst-J	3L	20130451	20131743	-1	protein_coding
FBgn0034195	Spn53F	2R	17122898	17124237	-1	protein_coding
FBgn0033375	CG8078	2R	9096931	9098525	-1	protein_coding
FBgn0085692	CG41561	211000022280328	7386	9527	-1	protein_coding
FBgn0067312	CheB38a	2L	20817815	20818532	-1	protein_coding
FBgn0262249	mir-958	3L	22669289	22669380	-1	pre_miRNA
FBgn0036771	CG14353	3L	17908143	17909683	1	protein_coding
FBgn0036263	thoc6	3L	12190696	12193688	-1	protein_coding
FBgn0030654	CG15643	X	15570380	15572149	-1	protein_coding
FBgn0039727	Vps13B	3R	29935978	29948207	1	protein_coding
FBgn0265905	lncRNA:CR44694	2L	18309629	18310010	1	ncRNA
FBgn0085485	CG34456	3L	9362108	9362734	1	protein_coding
FBgn0011758	B-H1	X	17397478	17403278	1	protein_coding
FBgn0052190	NUCB1	3L	17797738	17802279	-1	protein_coding
FBgn0034030	CG8192	2R	15544316	15549984	-1	protein_coding
FBgn0035533	Cip4	3L	4322491	4364102	-1	protein_coding
FBgn0036053	iPLA2-VIA	3L	9860217	9864349	-1	protein_coding
FBgn0039104	CG10252	3R	23695221	23696245	-1	protein_coding
FBgn0011905	tRNA:Lys-TTT-2-5	3R	12131356	12131427	1	tRNA
FBgn0263532	mir-4962	X	3777382	3777505	1	pre_miRNA
FBgn0266651	lncRNA:CR45158	3L	11632705	11633303	-1	ncRNA
FBgn0028948	CG15253	2L	15615357	15616351	-1	protein_coding
FBgn0266840	lncRNA:CR45302	2L	14885105	14885411	1	ncRNA
FBgn0031970	CG7227	2L	7994388	7998151	-1	protein_coding
FBgn0259979	CG17337	2R	5697872	5700212	1	protein_coding
FBgn0038268	CG3631	3R	14879457	14882631	1	protein_coding
FBgn0086359	Invadolysin	3R	10144668	10159134	1	protein_coding
FBgn0263747	CG43672	X	15773171	15778703	1	protein_coding
FBgn0029661	CG16781	X	3462474	3464044	-1	protein_coding
FBgn0263486	scaRNA:PsiU6-40	3L	21006379	21006520	-1	snoRNA
FBgn0085328	CG34299	3R	30249583	30250661	1	protein_coding
FBgn0030542	CG12481	X	14187253	14187841	1	protein_coding
FBgn0263215	CR43385	X	11741001	11742477	1	pseudogene
FBgn0030668	CG8128	X	15697494	15700034	1	protein_coding
FBgn0053873	His4:CG33873	2L	21524399	21524926	-1	protein_coding
FBgn0086758	chinmo	2L	1651258	1704682	1	protein_coding
FBgn0267011	lncRNA:CR45455	2L	19537965	19538223	1	ncRNA
FBgn0053223	CG33223	X	8465690	8483885	-1	protein_coding
FBgn0052748	tRNA:Phe-GAA-1-1	X	6516974	6517046	1	tRNA
FBgn0037227	TwdlV	3R	4254708	4255833	1	protein_coding
FBgn0052201	CG32201	3L	18609620	18611862	1	protein_coding
FBgn0263849	CG43710	2R	20776727	20777749	-1	protein_coding
FBgn0031786	CG13989	2L	6160400	6161309	1	protein_coding
FBgn0000662	fl(2)d	2R	13819624	13824553	-1	protein_coding
FBgn0037996	CG4830	3R	12208159	12210360	-1	protein_coding
FBgn0053474	CG33474	2R	10421706	10422989	1	protein_coding
FBgn0051826	CG31826	2L	15771263	15773113	-1	protein_coding
FBgn0002564	Lsp1gamma	3L	66430	68995	1	protein_coding
FBgn0036774	mRpS26	3L	18106579	18107499	1	protein_coding
FBgn0034507	CG11192	2R	20354108	20355067	-1	protein_coding
FBgn0083033	snoRNA:Psi18S-525f	2L	20419774	20419908	1	snoRNA
FBgn0263743	CG43668	2R	20791462	20792192	-1	protein_coding
FBgn0266847	lncRNA:CR45309	2R	9213125	9213744	1	ncRNA
FBgn0052079	CG32079	3L	11025561	11027332	1	protein_coding
FBgn0263866	lncRNA:CR43713	2L	5431842	5432604	1	ncRNA
FBgn0085320	CG34291	3R	26425290	26425781	-1	protein_coding
FBgn0040370	CG13375	X	283186	294962	-1	protein_coding
FBgn0040007	RpL38	2R	4515388	4516458	-1	protein_coding
FBgn0051272	CG31272	3R	10756296	10759398	-1	protein_coding
FBgn0260396	CG42521	3L	10623066	10623576	-1	protein_coding
FBgn0266853	lncRNA:CR45314	2R	18057915	18059075	-1	ncRNA
FBgn0284245	eEF1alpha1	2R	11891135	11895762	1	protein_coding
FBgn0036397	Nprl3	3L	13999380	14001880	-1	protein_coding
FBgn0028872	CG18095	2L	14029262	14031539	-1	protein_coding
FBgn0051526	lncRNA:CR31526	3R	4533248	4533940	1	ncRNA
FBgn0003360	sesB	X	10780893	10786958	-1	protein_coding
FBgn0040208	Kat60	3R	5227289	5232209	-1	protein_coding
FBgn0029095	aru	2L	861849	868354	-1	protein_coding
FBgn0038275	CG3817	3R	14898739	14899617	1	protein_coding
FBgn0263463	snoRNA:gcl-a	2R	8724905	8725065	1	snoRNA
FBgn0259716	CG42370	2L	6383435	6385512	-1	protein_coding
FBgn0051924	CG31924	2L	1354101	1354919	-1	protein_coding
FBgn0033232	CG12159	2R	7915027	7916478	-1	protein_coding
FBgn0264952	lncRNA:CR44121	2L	8205778	8206044	-1	ncRNA
FBgn0052396	CG32396	3L	6530729	6532429	1	protein_coding
FBgn0036858	CG14088	3L	19269772	19270642	-1	protein_coding
FBgn0266071	lncRNA:CR44824	2L	6138867	6139309	-1	ncRNA
FBgn0004185	snRNA:U1:95Ca	3R	23859467	23859630	-1	snRNA
FBgn0035271	CG2021	3L	1777010	1777411	-1	protein_coding
FBgn0035593	CG4603	3L	5133871	5135670	1	protein_coding
FBgn0052817	CG32817	X	479066	480166	1	protein_coding
FBgn0015618	Cdk8	3L	9837080	9838670	-1	protein_coding
FBgn0263251	vnc	3L	9972312	9974023	1	protein_coding
FBgn0040747	CG12853	2R	14933515	14933913	1	protein_coding
FBgn0085283	CG34254	3L	18680409	18680779	1	protein_coding
FBgn0262408	mir-5	2R	19661158	19661226	-1	pre_miRNA
FBgn0053245	Ste:CG33245	X	14049280	14050003	-1	protein_coding
FBgn0046302	CG10650	2L	18993360	18995934	-1	protein_coding
FBgn0037382	Hpr1	3R	5818794	5821440	-1	protein_coding
FBgn0032987	RpL21	2L	22247111	22247875	-1	protein_coding
FBgn0053533	lectin-37Db	2L	19419075	19419767	1	protein_coding
FBgn0033127	Tsp42Ef	2R	7025010	7028082	1	protein_coding
FBgn0083976	CG34140	3L	182522	184424	-1	protein_coding
FBgn0039215	CG6695	3R	24655160	24659379	1	protein_coding
FBgn0015615	SMC3	X	16588996	16593439	-1	protein_coding
FBgn0035273	CG12020	3L	1797305	1798610	1	protein_coding
FBgn0261994	CG42812	3R	24367360	24368164	-1	protein_coding
FBgn0003048	pcx	X	2225296	2238045	1	protein_coding
FBgn0037611	CG11755	3R	8676915	8678955	1	protein_coding
FBgn0266902	lncRNA:CR45362	2L	21889758	21891095	-1	ncRNA
FBgn0001220	Hsc70-5	2R	14252598	14256192	-1	protein_coding
FBgn0053868	His2B:CG33868	2L	21537505	21538099	-1	protein_coding
FBgn0032514	CG9302	2L	13376455	13378538	-1	protein_coding
FBgn0040551	CG11686	3R	13260356	13262227	1	protein_coding
FBgn0001114	Glt	2L	8672698	8676804	1	protein_coding
FBgn0261631	CG42714	3L	6233491	6234056	-1	protein_coding
FBgn0053876	His2B:CG33876	2L	21517932	21518526	-1	protein_coding
FBgn0267790	rump	3R	9505853	9510324	-1	protein_coding
FBgn0037260	Mur82C	3R	4541356	4543215	1	protein_coding
FBgn0259933	CG42456	3L	3319555	3322489	1	protein_coding
FBgn0267277	asRNA:CR45713	2L	21232745	21234035	1	ncRNA
FBgn0030508	CG15760	X	13669699	13676232	1	protein_coding
FBgn0266350	lncRNA:CR44999	X	3373159	3522787	1	ncRNA
FBgn0014454	Acp1	2L	7740562	7741537	-1	protein_coding
FBgn0037234	CG9795	3R	4319683	4326379	1	protein_coding
FBgn0026207	mbo	3R	12676487	12679052	-1	protein_coding
FBgn0053117	Victoria	2L	19912938	19913516	-1	protein_coding
FBgn0036820	Grx1	3L	18869230	18870057	1	protein_coding
FBgn0015904	ara	3L	12580672	12596018	1	protein_coding
FBgn0263605	l(3)72Dn	3L	16226126	16228737	-1	protein_coding
FBgn0267538	lncRNA:CR45878	3L	10048302	10048927	1	ncRNA
FBgn0034045	CG8249	2R	15842760	15847362	-1	protein_coding
FBgn0063383	snoRNA:U29:54Ec	2R	17700472	17700559	1	snoRNA
FBgn0085321	CG34292	3R	27062216	27063059	1	protein_coding
FBgn0052695	CG32695	X	9872382	9874057	-1	protein_coding
FBgn0052823	Sdic3	X	20189440	20194227	-1	protein_coding
FBgn0030594	fiz	X	14906334	14909708	-1	protein_coding
FBgn0040268	Top3alpha	2L	19498168	19502268	1	protein_coding
FBgn0037365	CG2104	3R	5690891	5693286	-1	protein_coding
FBgn0022984	qkr58E-3	2R	22409208	22411545	-1	protein_coding
FBgn0262819	CG43190	2R	11844378	11845099	1	protein_coding
FBgn0265368	lncRNA:CR44309	2L	3562038	3563118	1	ncRNA
FBgn0030802	DENR	X	16885546	16886560	-1	protein_coding
FBgn0011832	Ser12	2L	2250431	2251275	-1	protein_coding
FBgn0031471	CG3117	2L	2845926	2847212	-1	protein_coding
FBgn0266308	lncRNA:CR44973	2L	13582569	13583033	1	ncRNA
FBgn0016672	Ipp	3R	13958789	13960474	1	protein_coding
FBgn0004118	nAChRbeta2	3R	24509228	24515106	-1	protein_coding
FBgn0017572	Mo25	3L	16613218	16615472	-1	protein_coding
FBgn0022985	qkr58E-2	2R	22415560	22419001	1	protein_coding
FBgn0043791	phu	3R	9494801	9496723	1	protein_coding
FBgn0039635	Pdhb	3R	29113071	29116197	1	protein_coding
FBgn0030880	CG6788	X	17888177	17889404	1	protein_coding
FBgn0264876	asRNA:CR44067	2R	24775711	24779987	1	ncRNA
FBgn0015949	hrg	2R	19663919	19669832	-1	protein_coding
FBgn0050015	CG30015	2R	10839102	10874771	-1	protein_coding
FBgn0011648	Mad	2L	3146056	3159643	-1	protein_coding
FBgn0039212	Syx18	3R	24623802	24625562	-1	protein_coding
FBgn0038626	CG7691	3R	18559869	18561353	1	protein_coding
FBgn0031724	CG18266	2L	5596833	5598636	1	protein_coding
FBgn0037304	CG1113	3R	5253153	5255403	1	protein_coding
FBgn0082927	snoRNA:Me28S-G3255b	2R	9096763	9096844	1	snoRNA
FBgn0267096	lncRNA:CR45536	X	8163301	8163580	1	ncRNA
FBgn0267347	squ	2L	16680054	16681653	1	protein_coding
FBgn0050043	CG30043	2R	12359436	12363165	1	protein_coding
FBgn0262853	CR43217	X	11586228	11586944	1	pseudogene
FBgn0038585	Non3	3R	18223722	18224942	1	protein_coding
FBgn0065095	snmRNA:400	X	1558349	1558400	-1	ncRNA
FBgn0012003	tRNA:Val-CAC-2-5	3R	19672277	19672349	-1	tRNA
FBgn0030033	CG1387	X	8385781	8389504	1	protein_coding
FBgn0035697	CG10163	3L	6257423	6258760	-1	protein_coding
FBgn0024542	Neos	3L	7241628	7243139	1	protein_coding
FBgn0053272	CG33272	3L	11510323	11510589	-1	protein_coding
FBgn0034430	mip40	2R	19291105	19292196	-1	protein_coding
FBgn0283560	mir-9380	3R	8348702	8348778	-1	pre_miRNA
FBgn0266615	CG45122	3R	13044157	13044529	1	protein_coding
FBgn0267120	lncRNA:CR45560	3R	7387444	7388319	1	ncRNA
FBgn0039482	CG14258	3R	27093143	27094224	1	protein_coding
FBgn0262307	mir-990	2R	16895223	16895308	-1	pre_miRNA
FBgn0035857	CG8006	3L	8211890	8213622	1	protein_coding
FBgn0259923	Sep4	X	16684216	16695173	-1	protein_coding
FBgn0069354	Porin2	2L	10845788	10847044	-1	protein_coding
FBgn0030003	CG2116	X	8129812	8131783	1	protein_coding
FBgn0040060	yip7	3L	6035216	6036175	1	protein_coding
FBgn0029639	CG14419	X	2885186	2885914	-1	protein_coding
FBgn0264895	RapGAP1	2L	7497805	7578980	-1	protein_coding
FBgn0030891	Ada3	X	18085761	18088418	1	protein_coding
FBgn0028664	VhaM9.7-c	3L	4186018	4186865	-1	protein_coding
FBgn0036230	CG11570	3L	11956708	11957765	-1	protein_coding
FBgn0267515	28SrRNA-Psi:CR45855	X	23205822	23206525	1	pseudogene
FBgn0000588	esc	2L	11827204	11829405	-1	protein_coding
FBgn0027783	SMC2	2R	14848621	14852653	-1	protein_coding
FBgn0261792	snRNP-U1-C	3R	18982964	18983650	-1	protein_coding
FBgn0250843	Prosalpha6	2L	10221351	10222546	1	protein_coding
FBgn0033421	CG1888	2R	9541947	9548135	-1	protein_coding
FBgn0264466	lncRNA:CR43874	3L	17259661	17260449	1	ncRNA
FBgn0041789	Pax	2L	19400753	19426596	-1	protein_coding
FBgn0004921	Ggamma1	2R	8901404	8904791	1	protein_coding
FBgn0031830	COX5B	2L	6557800	6559308	1	protein_coding
FBgn0035491	Dpy-30L2	3L	4046988	4047735	-1	protein_coding
FBgn0086602	snoRNA:Psi28S-3436b	X	6742349	6742491	-1	snoRNA
FBgn0031713	CG7277	2L	5530620	5532223	-1	protein_coding
FBgn0036381	CG8745	3L	13860027	13866905	-1	protein_coding
FBgn0262952	mt:ND4	mitochondrion_genome	8207	9545	-1	protein_coding
FBgn0259972	Sfp77F	3L	20896268	20897417	-1	protein_coding
FBgn0265452	lncRNA:CR44352	2L	9025634	9031836	-1	ncRNA
FBgn0262383	mir-284	3R	12551515	12551614	-1	pre_miRNA
FBgn0015583	Acp29AB	2L	8392456	8393222	-1	protein_coding
FBgn0038107	CG17327	3R	12996876	12997726	-1	protein_coding
FBgn0264855	AP-2alpha	2L	408030	414777	-1	protein_coding
FBgn0265150	lncRNA:CR44219	2L	262203	263003	1	ncRNA
FBgn0267662	lncRNA:CR46000	3L	6981212	6981703	-1	ncRNA
FBgn0036058	CG6707	3L	9894807	9898575	-1	protein_coding
FBgn0261602	RpL8	3L	2587456	2588883	1	protein_coding
FBgn0030894	Mvb12	X	18097558	18101314	-1	protein_coding
FBgn0261446	CG13377	X	258335	263999	-1	protein_coding
FBgn0053838	His2A:CG33838	2L	21493423	21493915	1	protein_coding
FBgn0038548	CG17806	3R	17801542	17803260	-1	protein_coding
FBgn0011217	eff	3R	14732414	14741319	-1	protein_coding
FBgn0267806	lncRNA:CR46131	3R	6585431	6586105	1	ncRNA
FBgn0031905	gudu	2L	7388508	7390902	1	protein_coding
FBgn0026389	Or43a	2R	7232840	7234913	-1	protein_coding
FBgn0266304	asRNA:CR44969	2L	122837	124031	1	ncRNA
FBgn0033750	CG13151	2R	12515375	12517284	1	protein_coding
FBgn0027601	pdgy	X	14933670	14953532	-1	protein_coding
FBgn0000038	nAChRbeta1	3L	4429349	4435993	1	protein_coding
FBgn0037370	CG1236	3R	5736748	5738013	1	protein_coding
FBgn0011970	tRNA:Ser-GCT-2-1	3R	10278054	10278135	-1	tRNA
FBgn0267989	asRNA:CR46256	2L	13174227	13175365	1	ncRNA
FBgn0025455	CycT	3L	17551004	17557788	-1	protein_coding
FBgn0053878	His2B:CG33878	2L	21512887	21513481	-1	protein_coding
FBgn0051675	CG31675	2L	20867755	20869650	1	protein_coding
FBgn0033121	Cyp6u1	2R	6971996	6975026	-1	protein_coding
FBgn0024360	MTPAP	X	1344872	1349357	-1	protein_coding
FBgn0265162	lncRNA:CR44231	3R	12727759	12728459	1	ncRNA
FBgn0050161	CG30161	2R	24663532	24664377	-1	protein_coding
FBgn0052758	CG32758	X	5719374	5738031	-1	protein_coding
FBgn0040928	CR15345	X	8397157	8398298	-1	pseudogene
FBgn0035438	PHGPx	3L	3326265	3328626	1	protein_coding
FBgn0267248	lncRNA:CR45688	3L	17366775	17367365	1	ncRNA
FBgn0036808	Dic4	3L	18696402	18698412	-1	protein_coding
FBgn0031494	CG17219	2L	3029253	3030616	1	protein_coding
FBgn0015754	Lis-1	2R	16178826	16185103	1	protein_coding
FBgn0266936	lncRNA:CR45387	3L	18854317	18854622	1	ncRNA
FBgn0266487	CG45086	2R	12612740	12619820	1	protein_coding
FBgn0038429	CG14882	3R	16443207	16445010	1	protein_coding
FBgn0026369	Sara	2R	21481927	21487107	1	protein_coding
FBgn0265417	CG44329	X	5812273	5812977	-1	protein_coding
FBgn0263872	lncRNA:CR43719	2L	308537	309348	-1	ncRNA
FBgn0025625	Sik2	X	2055310	2061915	-1	protein_coding
FBgn0025835	CG17707	X	142731	148426	-1	protein_coding
FBgn0032048	Dh31	2L	8491868	8506845	-1	protein_coding
FBgn0053881	His4:CG33881	2L	21504377	21504789	-1	protein_coding
FBgn0265822	lncRNA:CR44611	2L	7078895	7079399	-1	ncRNA
FBgn0263515	mir-4983	2R	19637414	19637521	1	pre_miRNA
FBgn0031281	Saf6	2L	813314	815950	-1	protein_coding
FBgn0033278	CG14759	2R	8259841	8260483	1	protein_coding
FBgn0262252	mir-965	2L	243035	243141	-1	pre_miRNA
FBgn0011604	Iswi	2R	12636671	12640628	1	protein_coding
FBgn0032850	Kua	2L	20097581	20103375	1	protein_coding
FBgn0040694	CG14974	3L	3620433	3621032	-1	protein_coding
FBgn0053438	5SrRNA:CR33438	2R	19734772	19734906	-1	rRNA
FBgn0036851	CG14082	3L	19105381	19138975	-1	protein_coding
FBgn0030054	Caf1-180	X	8602137	8606304	-1	protein_coding
FBgn0265931	lncRNA:CR44720	3L	11273960	11274562	-1	ncRNA
FBgn0033196	CG1358	2R	7595265	7620711	-1	protein_coding
FBgn0031143	CG1532	X	21026125	21028361	-1	protein_coding
FBgn0024222	IKKbeta	3R	16046347	16049421	-1	protein_coding
FBgn0052324	tRNA:Glu-CTC-3-7	3L	1398406	1398477	1	tRNA
FBgn0001320	kni	3L	20692330	20695378	-1	protein_coding
FBgn0032799	CG10166	2L	19525434	19526368	-1	protein_coding
FBgn0264393	CG43841	X	18439667	18440076	1	protein_coding
FBgn0265540	asRNA:CR44390	2R	17023652	17026993	-1	ncRNA
FBgn0038918	CG6690	3R	21911816	21913591	1	protein_coding
FBgn0032734	CG15169	2L	18991020	18992409	1	protein_coding
FBgn0045470	Gr93b	3R	21842521	21843765	-1	protein_coding
FBgn0038014	CG10041	3R	12350815	12352079	-1	protein_coding
FBgn0262810	CG43181	X	350566	351133	1	protein_coding
FBgn0038123	CG8508	3R	13185526	13186496	-1	protein_coding
FBgn0014007	Ptp69D	3L	12734945	12741568	1	protein_coding
FBgn0051414	Gba1b	3R	23704804	23708512	1	protein_coding
FBgn0032474	DnaJ-H	2L	13163209	13166072	-1	protein_coding
FBgn0032248	Bug22	2L	10429920	10430918	-1	protein_coding
FBgn0052141	saturn	3L	14203323	14204294	1	protein_coding
FBgn0262857	CG43221	2L	17485757	17486365	1	protein_coding
FBgn0003486	spo	3L	5590083	5592571	-1	protein_coding
FBgn0037472	CG10098	3R	7124548	7126503	1	protein_coding
FBgn0035976	PGRP-LC	3L	9338810	9348336	1	protein_coding
FBgn0035886	Jon66Ci	3L	8391540	8392377	1	protein_coding
FBgn0264748	CG44006	3L	18068728	18070150	-1	protein_coding
FBgn0037817	Cyp12e1	3R	10434789	10436704	1	protein_coding
FBgn0264742	CG44000	2L	5043270	5048365	1	protein_coding
FBgn0065059	snoRNA:660	2R	20945970	20946065	1	snoRNA
FBgn0023000	mth	3L	343378	346957	-1	protein_coding
FBgn0262431	mir-1003	3R	24658605	24658660	1	pre_miRNA
FBgn0044823	Spec2	3R	5616644	5624125	-1	protein_coding
FBgn0033543	CG12338	2R	10729578	10731528	-1	protein_coding
FBgn0043456	CG4747	2L	10003832	10008889	1	protein_coding
FBgn0033297	Mal-A8	2R	8471954	8473961	1	protein_coding
FBgn0086356	tum	2R	13856150	13858689	-1	protein_coding
FBgn0043070	MESK2	2R	21502097	21517241	1	protein_coding
FBgn0032051	CG13097	2L	8512174	8514868	-1	protein_coding
FBgn0052271	CG32271	3L	3202238	3203162	-1	protein_coding
FBgn0039367	CG17197	3R	25773334	25775369	-1	protein_coding
FBgn0266763	lncRNA:CR45228	2R	10946309	10947095	1	ncRNA
FBgn0010355	Taf1	3R	6646889	6656048	1	protein_coding
FBgn0052330	tRNA:Glu-CTC-3-1	3L	1379934	1380005	1	tRNA
FBgn0033726	Cpr49Ad	2R	12390896	12391699	-1	protein_coding
FBgn0051495	CG31495	3R	13838240	13839934	-1	protein_coding
FBgn0046879	Obp56c	2R	19699995	19701124	-1	protein_coding
FBgn0039118	CG10208	3R	23772998	23774127	-1	protein_coding
FBgn0033995	GPHR	2R	15199065	15201200	-1	protein_coding
FBgn0264494	CG17646	2L	1732524	1750612	1	protein_coding
FBgn0035197	CG9130	3L	1252012	1255986	1	protein_coding
